date,venue_id,race_no,frame_no,car_no,name_kanji,racer_id,age,prefecture,term,grade,style,gear,score,first_places,second_places,third_places,outs,win_rate,top2_rate,top3_rate,style_escape,style_sprint,style_chase,style_other,start_number,back_number,recent_place1,recent_date1,recent_result1_1,recent_result1_2,recent_result1_3,recent_result1_4,recent_place2,recent_date2,recent_result2_1,recent_result2_2,recent_result2_3,recent_result2_4,recent_place3,recent_date3,recent_result3_1,recent_result3_2,recent_result3_3,recent_result3_4,comment,line_id,line_pos
2025-05-31,23,2,4,5,染谷　幸喜,15168,36,千葉,111,Ｓ２,逃,3.92,99.11,1,6,1,11,5.26,36.84,42.11,5,2,0,0,2,9,取手,05/31,,,,,平塚,05/10,,,,,福井,05/02,予6,般3,般1,,自力。,1,1
2025-05-31,23,2,5,6,武井　大介,13766,44,千葉,86,Ｓ２,追,3.93,91.96,1,0,0,24,4,4,4,0,0,1,0,8,0,取手,05/31,,,,,京王閣,05/24,予4,抜7,般5,,武雄,05/05,予6,般7,般7,,千葉３番手。,1,3
2025-05-31,23,2,5,7,月森　亮輔,14879,33,岡山,101,Ｓ２,両,3.92,99.85,5,1,2,18,19.23,23.08,30.77,0,4,2,0,7,5,取手,05/31,,,,,弥彦,05/20,予5,抜1,特1,,平塚,05/10,一5,二5,特3,秀8,自力自在。,3,1
2025-05-31,23,2,6,8,桶谷　明誉,14410,36,広島,94,Ｓ２,追,3.92,93.60,0,1,1,13,0,6.67,13.33,0,0,0,1,0,0,取手,05/31,,,,,岐阜,05/14,予6,般7,般3,,西武園,05/05,,,,,岡山勢へ。,3,3
2025-05-31,23,2,6,9,志智　俊夫,12596,52,岐阜,70,Ｓ１,追,3.92,108.25,4,1,5,7,23.53,29.41,58.82,0,1,3,1,2,0,取手,05/31,,,,,大垣,05/20,,,,,高松,05/05,初4,準1,決3,,横関君。,2,2
2025-05-31,23,3,1,1,小堺　浩二,14177,42,石川,91,Ｓ２,両,3.92,99.39,4,4,0,20,14.29,28.57,28.57,0,4,2,2,2,1,取手,05/31,,,,,京王閣,05/24,予4,抜6,般5,,岸和田,05/18,般1,,,,自在。,1,1
2025-05-31,23,3,2,2,邊見　光輝,15595,23,福島,119,Ｓ２,逃,3.92,98.20,4,2,2,12,20,30,40,3,3,0,0,1,9,取手,05/31,,,,,奈良,05/23,予5,般1,特7,,平塚,05/10,一3,二8,抜9,般1,自力。,2,1
2025-05-31,23,3,3,3,大川　龍二,14182,40,広島,91,Ｓ１,両,3.92,105.65,1,2,3,13,5.26,15.79,31.58,0,0,2,1,1,1,取手,05/31,,,,,青森,05/24,抜2,Ｄ8,,,川崎,05/15,予1,準2,決4,,河端君。,3,2
2025-05-31,23,3,4,4,北野　武史,13199,52,石川,78,Ｓ２,追,3.93,97.44,1,2,2,11,6.25,18.75,31.25,0,0,2,1,2,0,取手,05/31,,,,,奈良,05/23,,,,,福井,05/14,予2,準4,特6,,小堺君。,1,2
2025-05-31,23,3,4,5,西岡　拓朗,14617,41,広島,97,Ｓ２,追,3.92,98.54,1,3,5,17,3.85,15.38,34.62,0,0,1,3,2,0,取手,05/31,,,,,大垣,05/20,予4,抜4,特3,,平塚,05/10,一8,抜4,抜3,特6,中国３番手。,3,3
