date,venue_id,race_no,frame_no,car_no,name_kanji,racer_id,age,prefecture,term,grade,style,gear,score,first_places,second_places,third_places,outs,win_rate,top2_rate,top3_rate,style_escape,style_sprint,style_chase,style_other,start_number,back_number,recent_place1,recent_date1,recent_result1_1,recent_result1_2,recent_result1_3,recent_result1_4,recent_place2,recent_date2,recent_result2_1,recent_result2_2,recent_result2_3,recent_result2_4,recent_place3,recent_date3,recent_result3_1,recent_result3_2,recent_result3_3,recent_result3_4,comment,line_id,line_pos,race_grade,class_name
2025-06-01,44,8,6,6,鮒田　博文,13271,47,三重,79,Ａ２,追,3.93,83.23,2,1,3,16,9.09,13.64,27.27,0,0,3,0,0,0,大垣,05/30,予3,準4,,,玉野,05/23,予6,般1,特6,,四日市,05/11,予7,般1,特4,,福井勢の後ろ。,3,3,F2,特選
2025-06-01,44,8,6,7,清水　邦章,12473,54,香川,68,Ａ２,追,3.92,84.5,4,5,3,16,14.29,32.14,42.86,0,0,4,5,0,0,大垣,05/30,予6,般1,,,高松,05/21,予2,準2,決6,,岸和田,05/09,予4,準3,特7,,渋谷君ですね。,1,2,F2,特選
2025-06-01,44,9,1,1,瀧川　幸広,15810,29,愛知,125,Ａ３,逃,3.93,76.33,10,8,4,8,33.33,60.0,73.33,17,0,0,1,11,24,大垣,05/30,予1,準1,,,高松,05/15,予1,準3,決4,,川崎,05/05,予1,準4,決2,,みんな強いけど初優勝目指して。自力です。,1,1,F2,チ決勝
2025-06-01,44,9,2,2,行成　大祐,13358,49,香川,80,Ａ３,追,3.92,71.47,2,8,7,13,6.67,33.33,56.67,0,0,4,6,2,0,大垣,05/30,予3,準3,,,川崎,05/23,予4,抜4,般2,,高松,05/15,予2,準2,決7,,準決はキツかったね。決勝も角君の番手。,2,2,F2,チ決勝
2025-06-01,44,9,3,3,松本　　定,15842,28,福岡,125,Ａ３,逃,3.93,76.24,9,5,3,6,39.13,60.87,73.91,13,1,0,0,8,19,大垣,05/30,予1,準2,,,西武園,05/10,予2,準2,決5,,小倉,05/01,予3,準3,抜5,,余裕はなかったけど自分の競走はできた。昂大へ。,3,2,F2,チ決勝
2025-06-01,44,9,4,4,松本　昂大,15843,21,長崎,125,Ａ３,逃,3.85,73.71,7,3,1,6,41.18,58.82,64.71,6,3,1,0,5,9,大垣,05/30,予1,準4,,,佐世保,05/23,般1,抜1,,,高知,05/17,予1,準5,抜1,,トップスピードが足りなかった。前で自力です。,3,1,F2,チ決勝
2025-06-01,44,9,5,5,角　　宗哉,15832,24,山口,125,Ａ３,逃,3.93,78.33,17,6,0,4,62.96,85.19,85.19,19,4,0,0,9,23,大垣,05/30,予1,準1,,,立川,05/20,予1,準1,決2,,小倉,05/01,予1,準1,決1,,準決はハードワークになった。ケアして自力。,2,1,F2,チ決勝
2025-06-01,44,9,6,6,伊藤　嘉浩,13266,48,岐阜,79,Ａ３,両,3.92,67.69,2,2,4,18,7.69,15.38,30.77,0,0,2,2,6,0,大垣,05/30,予3,準2,,,奈良,05/11,予5,,,,弥彦,05/01,予7,般5,般6,,何とか良かったです。ここも瀧川君の番手で。,1,2,F2,チ決勝
2025-06-01,44,9,6,7,前田　拓也,12689,51,大阪,71,Ａ３,追,3.86,75.53,3,16,4,7,10.0,63.33,76.67,0,2,4,13,0,0,大垣,05/30,予4,準3,,,佐世保,05/23,予2,準4,抜2,,四日市,05/11,予2,準6,抜1,,準決同様に中部勢の後ろ。,1,3,F2,チ決勝
2025-06-01,44,10,1,1,宇野　紅音,15764,21,岐阜,124,Ｌ１,両,3.77,52.8,2,6,6,11,8.0,32.0,56.0,0,1,4,3,4,1,大垣,05/30,予4,予2,,,岸和田,05/18,予5,予1,決3,,岐阜,04/25,予5,抜6,抜4,,大垣で準Vはあるので今度は優勝を。自在で。,3,1,F2,ガ決勝
