date,venue_name,venue_id
20120820,高知,74
20120820,岐阜,43
20120820,久留米,83
20120820,松阪,47
20120820,青森,12
20120821,久留米,83
20120821,高知,74
20120821,松阪,47
20120821,岐阜,43
20120821,青森,12
20120822,青森,12
20120822,和歌山,55
20120822,函館,11
20120822,高知,74
20120822,豊橋,45
20120822,武雄,84
20120822,松阪,47
20120823,別府,86
20120823,防府,63
20120823,武雄,84
20120823,函館,11
20120823,和歌山,55
20120823,福井,51
20120823,豊橋,45
20120824,豊橋,45
20120824,武雄,84
20120824,和歌山,55
20120824,防府,63
20120824,函館,11
20120824,静岡,38
20120824,福井,51
20120824,小倉,81
20120824,別府,86
20120825,別府,86
20120825,静岡,38
20120825,小倉,81
20120825,富山,46
20120825,川崎,34
20120825,福井,51
20120825,防府,63
20120826,川崎,34
20120826,富山,46
20120826,静岡,38
20120827,川崎,34
20120827,函館,11
20120827,富山,46
20120828,函館,11
20120828,富山,46
20120829,函館,11
20120829,別府,86
20120829,平塚,35
20120829,前橋,22
20120829,広島,62
20120829,大垣,44
20120830,別府,86
20120830,前橋,22
20120830,広島,62
20120830,平塚,35
20120830,大垣,44
20120830,四日市,48
20120830,福井,51
20120831,熊本,87
20120831,平塚,35
20120831,別府,86
20120831,大垣,44
20120831,四日市,48
20120831,福井,51
20120831,広島,62
20120831,前橋,22
20120901,青森,12
20120901,福井,51
20120901,四日市,48
20120901,熊本,87
20120902,熊本,87
20120902,青森,12
20120903,防府,63
20120903,和歌山,55
20120903,一宮,
20120903,青森,12
20120904,和歌山,55
20120904,青森,12
20120904,防府,63
20120904,小倉,81
20120904,一宮,
20120905,宇都宮,24
20120905,和歌山,55
20120905,一宮,
20120905,松戸,31
20120905,防府,63
20120905,佐世保,85
20120905,小倉,81
20120906,小倉,81
20120906,佐世保,85
20120906,松戸,31
20120906,大垣,44
20120906,宇都宮,24
20120907,宇都宮,24
20120907,松山,75
20120907,大垣,44
20120907,松戸,31
20120907,いわき平,13
20120907,佐世保,85
20120908,松山,75
20120908,平塚,35
20120908,大垣,44
20120908,いわき平,13
20120909,豊橋,45
20120909,平塚,35
20120909,いわき平,13
20120909,松山,75
20120910,福井,51
20120910,平塚,35
20120910,豊橋,45
20120910,奈良,53
20120910,武雄,84
20120910,函館,11
20120910,名古屋,42
20120910,小松島,73
20120910,熊本,87
20120911,福井,51
20120911,豊橋,45
20120911,奈良,53
20120911,小松島,73
20120911,熊本,87
20120911,武雄,84
20120911,函館,11
20120911,名古屋,42
20120912,福井,51
20120912,熊本,87
20120912,名古屋,42
20120912,武雄,84
20120912,小松島,73
20120912,奈良,53
20120912,函館,11
20120913,川崎,34
20120913,前橋,22
20120914,前橋,22
20120914,川崎,34
20120915,広島,62
20120915,前橋,22
20120915,川崎,34
20120915,四日市,48
20120916,四日市,48
20120916,前橋,22
20120916,広島,62
20120917,広島,62
20120917,四日市,48
20120917,函館,11
20120917,前橋,22
20120918,函館,11
20120918,奈良,53
20120918,松戸,31
20120918,玉野,61
20120918,松阪,47
20120919,別府,86
20120919,福井,51
20120919,函館,11
20120919,松戸,31
20120919,奈良,53
20120919,高知,74
20120919,松阪,47
20120919,岐阜,43
20120919,玉野,61
20120920,福井,51
20120920,高知,74
20120920,玉野,61
20120920,岐阜,43
20120920,久留米,83
20120920,松阪,47
20120920,別府,86
20120920,奈良,53
20120920,松戸,31
20120921,小倉,81
20120921,青森,12
20120921,高知,74
20120921,久留米,83
20120921,福井,51
20120921,別府,86
20120921,岐阜,43
20120921,宇都宮,24
20120921,平塚,35
20120922,防府,63
20120922,平塚,35
20120922,久留米,83
20120922,小倉,81
20120922,青森,12
20120922,宇都宮,24
20120923,平塚,35
20120923,岐阜,43
20120923,青森,12
20120923,宇都宮,24
20120923,防府,63
20120924,函館,11
20120924,岐阜,43
20120924,防府,63
20120924,岸和田,56
20120925,函館,11
20120925,岐阜,43
20120925,防府,63
20120925,岸和田,56
20120926,函館,11
20120926,高知,74
20120926,佐世保,85
20120926,岸和田,56
20120926,名古屋,42
20120927,松山,75
20120927,高知,74
20120927,名古屋,42
20120927,久留米,83
20120927,佐世保,85
20120928,佐世保,85
20120928,久留米,83
20120928,小倉,81
20120928,松山,75
20120928,高知,74
20120928,豊橋,45
20120928,名古屋,42
20120929,小倉,81
20120929,松山,75
20120929,豊橋,45
20120929,静岡,38
20120929,久留米,83
20120930,豊橋,45
20120930,静岡,38
20121001,静岡,38
20121001,松阪,47
20121001,函館,11
20121001,岸和田,56
20121002,奈良,53
20121002,函館,11
20121002,松阪,47
20121002,宇都宮,24
20121002,岸和田,56
20121003,松阪,47
